Condition,File,PhaseFCC,nFCC,PhaseBCC,nBCC,nGBseg,FracKS_tol,FracNW_tol,tol_deg
AS,/MATLAB Drive/SDSS 2507_EBSD/01_AS_hex/0.ang,Austenite,22326,Ferryt,266963,26160,0.388327193279028,0.229642463790844,5
SR400,/MATLAB Drive/SDSS 2507_EBSD/02_SR400_hex/0.ang,Austenite,25539,Ferryt,175214,20667,0.324284134142115,0.158093256366174,5
SR450,/MATLAB Drive/SDSS 2507_EBSD/03_SR450_hex/0.ang,Austenite,1201,Ferryt,288088,4504,0.311249135683068,0.228470654976376,5
SR500,/MATLAB Drive/SDSS 2507_EBSD/04_SR500_hex/0.ang,Austenite,11352,Ferryt,277937,17720,0.360598599101601,0.256741433389332,5
SR550,/MATLAB Drive/SDSS 2507_EBSD/05_SR550_hex/0.ang,Austenite,1967,Ferryt,263818,4842,0.258206375917585,0.10699588194414,5
SA1100,/MATLAB Drive/SDSS 2507_EBSD/06_SA1100_hex/0.ang,Austenite,67438,Ferryt,221851,62866,0.65864126651131,0.318744446922173,5
